UnitSetId,IsExchangeUnit,UniversityCountry,UniversityName,UniversityHref,UnitTitle,UnitCode,UnitHref,EquivalentUWAUnitLevel,IsEquivalent
320,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR3433,,1000,TRUE
320,TRUE,UK,Nottingham University,,Process Dynamics,H83PDC,,1000,TRUE
321,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3018,,1000,TRUE
321,TRUE,UK,Nottingham University,,Process Synthesis,H84PSD,,1000,TRUE
322,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH3402,,1000,TRUE
322,TRUE,UK,Nottingham University,,Engineering Project  ,H82PEP,,1000,TRUE
323,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MATH3327,,1000,TRUE
323,TRUE,New Zealand,Otago University,,Mathematical Modelling 1,COMO301,,1000,TRUE
324,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MATH3342,,1000,TRUE
324,TRUE,New Zealand,Otago University,,Complex Analysis,MATH302,,1000,TRUE
325,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4403,,1000,TRUE
325,TRUE,USA,Pennsylvania State University,,Design of Concrete Structures,CE 341,,1000,TRUE
326,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5505,,1000,TRUE
326,TRUE,USA,Pennsylvania State University,,Project Development,CE 332,,1000,TRUE
327,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MCTX3420,,1000,TRUE
327,TRUE,USA,Purdue University,,Mechatronics: Integrated Design of Electro-Mechanical Systems,ME58800,,1000,TRUE
328,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH4426,,1000,TRUE
328,TRUE,USA,Purdue University,,Mechanical Vibrations,ME56300,,1000,TRUE
329,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
329,TRUE,USA,Purdue University,,Aircraft Design,AAE45100,,1000,TRUE
330,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
330,TRUE,USA,Purdue University,,Introduction to Aerospace Design,AAE25100,,1000,TRUE
331,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Elective,,1000,TRUE
331,TRUE,USA,Purdue University,,Aerodynamics,AAE33400,,1000,TRUE
332,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3001,,1000,TRUE
332,TRUE,USA,Purdue University,,Machine Design 1,ME35200,,1000,TRUE
333,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH4429,,1000,TRUE
333,TRUE,Canada,Queen's University,,Applied Thermodynamics,MECH330,,1000,TRUE
334,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3011,,1000,TRUE
334,TRUE,Canada,Queen's University,,Introduction to Mining,MINE201,,1000,TRUE
335,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3001,,1000,TRUE
335,TRUE,Canada,Queen's University,,Dynamics,MECH328,,1000,TRUE
336,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5507,,1000,TRUE
336,TRUE,Canada,Queen's University,,"Reliability, Maintenance",MINE359,,1000,TRUE
337,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ELEC3306,,1000,TRUE
337,TRUE,Canada,Queen's University,,Control Systems 1,ELEC443,,1000,TRUE
338,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3016,,1000,TRUE
338,TRUE,Canada,Queen's University,,Electric Machines,ELEC333,,1000,TRUE
339,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ELEC3303,,1000,TRUE
339,TRUE,Canada,Queen's University,,Applications of Electromagnetics,ELEC381,,1000,TRUE
340,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ELEC2301,,1000,TRUE
340,TRUE,Canada,Queen's University,,Digital Systems,ELEC271,,1000,TRUE
341,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ELEC3300,,1000,TRUE
341,TRUE,Canada,Queen's University,,Electronics 2,ELEC353,,1000,TRUE
342,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4130,,1000,TRUE
342,TRUE,Ireland,University College Dublin,,Hydraulic Engineering Design,CVEN40080,,1000,TRUE
343,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL5232,,1000,TRUE
343,TRUE,Ireland,University College Dublin,,Soil Mechanics,CVEN40210,,1000,TRUE
344,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4111,,1000,TRUE
344,TRUE,Ireland,University College Dublin,,Structural Design,CVEN40050,,1000,TRUE
345,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4120,,1000,TRUE
345,TRUE,Ireland,University College Dublin,,Soil-Structure Interaction,CVEN40430,,1000,TRUE
346,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3120,,1000,TRUE
346,TRUE,Ireland,University College Dublin,,Soil Mechanics 2,CVEN30010,,1000,TRUE
347,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Group D option,,1000,TRUE
347,TRUE,UK,University of Bristol,,Soil Structures Interaction 4,CENGM2700,,1000,TRUE
348,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CITS1002,,1000,TRUE
348,TRUE,UK,University of Bristol,,Introduction to C,COMS11500,,1000,TRUE
349,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3010,,1000,TRUE
349,TRUE,UK,University of Bristol,,Fluid Mechanics,CENG11300,,1000,TRUE
350,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH4405,,1000,TRUE
350,TRUE,UK,University of Bristol,,Finte Element Anaylsis,MENG33111,,1000,TRUE
351,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4111,,1000,TRUE
351,TRUE,UK,University of Bristol,,Structural Engineering 4,CENGM2400,,1000,TRUE
352,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5505,,1000,TRUE
352,TRUE,UK,University of Bristol,,Research Methodology,EFACM0004,,1000,TRUE
353,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5505,,1000,TRUE
353,TRUE,UK,University of Bristol,,Civil Engineering Systems 3,CENG33900,,1000,TRUE
354,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHEM1002 or CHEM1001,,1000,TRUE
354,TRUE,UK,University of Bristol,,Introductory Chemistry,CHEM10600,,1000,TRUE
355,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENVE4609,,1000,TRUE
355,TRUE,UK,University of Bristol,,Water Engineering 3,CENG33600,,1000,TRUE
356,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG4405,,1000,TRUE
356,TRUE,Canada,University of Calgary,,Numerical Methods in Engineering,Engineering 407,,1000,TRUE
357,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR5501,,1000,TRUE
357,TRUE,Canada,University of Calgary,,Chemical Reactor Desigm,Chemical Engineering 623,,1000,TRUE
358,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5505,,1000,TRUE
358,TRUE,Canada,University of Calgary,,The role,Engineering 513,,1000,TRUE
359,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3008,,1000,TRUE
359,TRUE,USA,University of Illinois,,Structural Analysis,CEE470,,1000,TRUE
360,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3111 ,,1000,TRUE
360,TRUE,USA,University of Illinois,,Steel Structures 1,CEE460,,1000,TRUE
361,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3120,,1000,TRUE
361,TRUE,USA,University of Illinois,,Applied Soil Mechanics,CEE484,,1000,TRUE
362,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH2403,,1000,TRUE
362,TRUE,USA,University of New Mexico,,Thermofluids,ME301,,1000,TRUE
363,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR2432,,1000,TRUE
363,TRUE,USA,University of New Mexico,,Heat Transfer,ME320,,1000,TRUE
364,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR3432,,1000,TRUE
364,TRUE,Canada,University of Ottawa,,Chemical Reaction Engineering,CH6 3127,,1000,TRUE
365,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHEM1001,,1000,TRUE
365,TRUE,UK,University of Sheffield,,,CHM1001,,1000,TRUE
366,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL5501,,1000,TRUE
366,TRUE,UK,University of Sheffield,,Structural Dynamics,CIV4180,,1000,TRUE
367,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3008,,1000,TRUE
367,TRUE,UK,University of Sheffield,,Advanced Structural Analysis,CIV312,,1000,TRUE
368,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3009,,1000,TRUE
368,TRUE,UK,University of Sheffield,,Geotechnical Design,CIV350,,1000,TRUE
369,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH2401,,1000,TRUE
369,TRUE,Canada,University of Toronto,,Mechanical Design Theory,MIE440H1,,1000,TRUE
370,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL2121,,1000,TRUE
370,TRUE,USA,University of Vermont,,Geotechnical Principles,CE180,,1000,TRUE
371,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3112,,1000,TRUE
371,TRUE,USA,University of Vermont,,Reinforced Concrete,CE173,,1000,TRUE
372,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3017 ,,1000,TRUE
372,TRUE,Canada,University of Waterloo  ,,Electronic Circuits 1,ECE240,,1000,TRUE
372,TRUE,Canada,University of Waterloo  ,,Electronic Circuits 2,ECE242,,1000,TRUE
373,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3015,,1000,TRUE
373,TRUE,Canada,University of Waterloo  ,,Signals,ECE207 nad ECE380,,1000,TRUE
374,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3014,,1000,TRUE
374,TRUE,Canada,University of Waterloo  ,,Electronic,ECE209,,1000,TRUE
374,TRUE,Canada,University of Waterloo  ,,Electrical Properties Electronic Devices,ECE331,,1000,TRUE
375,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3016,,1000,TRUE
375,TRUE,Canada,University of Waterloo  ,,Power Systems,ECE361,,1000,TRUE
376,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5505,,1000,TRUE
376,TRUE,Canada,University of Waterloo  ,,Industrial Ecology,CHE 571,,1000,TRUE
377,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3002,,1000,TRUE
377,TRUE,UK,University of Glasgow,,Design And Manufacture 2A ,ENG2015,,1000,TRUE
378,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC2002,,1000,TRUE
378,TRUE,UK,University of Glasgow,,ENG1003: ANALOGUE ELECTRONICS 1,ENG1003,,1000,TRUE
378,TRUE,UK,University of Glasgow,,ENG2053: THERMODYNAMICS M2,ENG2053,,1000,TRUE
379,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MATH1001,,1000,TRUE
379,TRUE,UK,University of Manchester,,Mathematics 1,PHYS10071,,1000,TRUE
380,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC1002,,1000,TRUE
380,TRUE,UK,University of Manchester,,Materials Science 1,MATS10221,,1000,TRUE
380,TRUE,UK,University of Manchester,,Structures,MACE10010,,1000,TRUE
381,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL5503 ,,1000,TRUE
381,TRUE,UK,Nottingham University,,Foundation,H23GGE ,,1000,TRUE
382,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5501 ,,1000,TRUE
382,TRUE,UK,Nottingham University,,Coastal Engineering ,H24HCR ,,1000,TRUE
383,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC1002,,1000,TRUE
383,TRUE,UK,University of Manchester,,"""Structures""",MACE10010,,1000,TRUE
383,TRUE,UK,University of Manchester,,"""Materials""",MACE10152,,1000,TRUE
384,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC2001,,1000,TRUE
384,TRUE,UK,University of Manchester,,"""Fluid Mechanics""",MACE10421,,1000,TRUE
384,TRUE,UK,University of Manchester,,"""Mechanics""",MACE10602,,1000,TRUE
385,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC2002,,1000,TRUE
385,TRUE,UK,University of Manchester,,"""Electrical Energy Supply",MACE10392,,1000,TRUE
385,TRUE,UK,University of Manchester,,"Circuits""",MACE11005,,1000,TRUE
386,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3003,,1000,TRUE
386,TRUE,UK,University of Manchester,,"""Fluid Mechanics 1""",MACE10421,,1000,TRUE
386,TRUE,UK,University of Manchester,,"""Applied Fluid Mechanics""",MACE20002,,1000,TRUE
387,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,Finance Level 2 option unit,,1000,TRUE
387,TRUE,Canada,University of Waterloo,,Business Finance 2,ECON372,,1000,TRUE
388,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR5522,,1000,TRUE
388,TRUE,Norway,Norwegian University of Science and Technology,,Natural Gas Technology,TEP4185,,1000,TRUE
389,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3130,,1000,TRUE
389,TRUE,UK,Leeds University,,Water Engineering II,CIVE2405,,1000,TRUE
390,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3120,,1000,TRUE
390,TRUE,UK,Leeds University,,Geotechnics III,CIVE3500,,1000,TRUE
391,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3019,,1000,TRUE
391,TRUE,Norway,Norwegian University of Science and Technology,,Process Engineering,TKP4120,,1000,TRUE
392,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR4406,,1000,TRUE
392,TRUE,Norway,Norwegian University of Science and Technology,,Chemical Reaction Engineering,TKP4110,,1000,TRUE
393,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR4404,,1000,TRUE
393,TRUE,Norway,Norwegian University of Science and Technology,,Engineering Thermodynamics 2,TEP4125,,1000,TRUE
394,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,GENG5505,,1000,TRUE
394,TRUE,Norway,Norwegian University of Science and Technology,,Process Design Project,TKP4170,,1000,TRUE
395,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CHPR4401&CHPR4402,,1000,TRUE
395,TRUE,Norway,Norwegian University of Science and Technology,,"Industrial Process Technology, Specialisation Project",TEP4520,,1000,TRUE
396,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,MECH1401,,1000,TRUE
396,TRUE,Canada,Queen's University,,Mechanics,APSC111,,1000,TRUE
